sym,dir,entry_time,entry_price,exit_time,exit_price,pnl_rub,reason,contracts,go,stop,pattern
SN,L,2025-01-10 08:15:00+08:00,24817.0,2025-01-10 08:20:00+08:00,24770.0,-9.46931538864488,fade,1,5000.0,24545.571428571428,vou
GL,L,2025-01-10 07:00:00+08:00,9122.4,2025-01-10 08:25:00+08:00,9167.1,122.50065772165419,fade,5,5000.0,9110.114285714286,vod
AF,L,2025-01-10 07:10:00+08:00,6116.0,2025-01-10 08:25:00+08:00,6119.0,2.4525833878351864,fade,1,5000.0,6088.142857142857,sm
YD,L,2025-01-10 07:05:00+08:00,4001.0,2025-01-10 08:30:00+08:00,3984.0,-42.4893776555861,fade,2,5000.0,3959.9285714285716,vod
SV,S,2025-01-10 07:05:00+08:00,31.58,2025-01-10 08:30:00+08:00,31.65,-22.165927802406678,fade,2,5000.0,31.758571428571425,vod
NM,L,2025-01-10 08:15:00+08:00,14841.0,2025-01-10 08:35:00+08:00,14884.0,24.42490398221144,fade,6,1405.0,14710.5,vod
HY,L,2025-01-10 08:30:00+08:00,5320.0,2025-01-10 08:35:00+08:00,5320.0,0.0,fade,10,3000.0,5234.642857142857,vou
HY,L,2025-01-10 08:40:00+08:00,5336.0,2025-01-10 08:45:00+08:00,5342.0,37.10644677661169,fade,11,3000.0,5271.0,vou
SN,L,2025-01-10 08:45:00+08:00,24932.0,2025-01-10 08:50:00+08:00,24985.0,63.77346382159474,fade,6,5000.0,24602.0,vou
AL,L,2025-01-10 08:50:00+08:00,5745.0,2025-01-10 08:55:00+08:00,5764.0,99.21671018276763,fade,6,5000.0,5713.285714285715,vou
BR,S,2025-01-10 08:55:00+08:00,77.9,2025-01-10 09:00:00+08:00,77.93,-4.621309370988621,fade,4,3000.0,78.42857142857143,vyf
AL,L,2025-01-10 09:25:00+08:00,5728.0,2025-01-10 09:30:00+08:00,5718.0,-17.45810055865922,fade,2,5000.0,5698.571428571428,vou
BR,S,2025-01-10 09:25:00+08:00,78.38,2025-01-10 09:35:00+08:00,78.4,-3.827507017098157,fade,5,3000.0,79.04071428571427,vyf
SN,L,2025-01-10 09:35:00+08:00,24600.0,2025-01-10 09:50:00+08:00,24167.14285714286,-527.8745644599284,stop,6,5000.0,24167.14285714286,vou
SV,S,2025-01-10 09:35:00+08:00,31.6,2025-01-10 09:50:00+08:00,31.6,-0.0,fade,2,5000.0,31.775000000000002,vod
YD,L,2025-01-10 09:45:00+08:00,3977.0,2025-01-10 09:50:00+08:00,3972.0,-6.28614533568016,fade,1,5000.0,3931.6428571428573,vod
SF,S,2025-01-10 07:25:00+08:00,1409.8,2025-01-10 09:55:00+08:00,1403.2,23.40757554262984,fade,1,5000.0,1424.5,vod
