ticker,tf,variant,horizon,n,wr,pf,avg_return,max_dd
VB,5m,B,3,28269,49.5,2.2154,0.1457,433.3273
SV,30m,B,4,5201,49.49,1.0468,0.0128,71.4172
Si,15m,B,2,10283,49.49,1.0415,0.0032,41.1926
ED,H1,B,4,2649,49.49,1.039,0.0031,14.6075
Eu,5m,B,4,33499,49.49,1.0964,0.0056,68.6254
RL,5m,B,8,2884,49.48,1.029,0.005,34.0963
RI,15m,B,6,10217,49.48,0.9805,-0.0035,91.2146
MC,H1,B,3,2582,49.46,0.9186,-0.0181,79.9889
MC,15m,B,4,10547,49.45,1.0144,0.0019,119.5938
HY,5m,C,4,9783,49.44,0.8395,-0.0414,422.6061
MX,15m,B,4,10450,49.44,1.0126,0.0016,119.5938
RL,5m,B,4,2885,49.43,1.0673,0.0082,14.6606
GK,30m,B,2,4757,49.42,1.2966,0.059,25.665
DX,5m,C,6,7732,49.41,0.8244,-0.0384,320.0396
PT,H1,B,3,2550,49.41,0.9576,-0.0141,104.0661
CC,H1,B,4,1110,49.37,0.9705,-0.0186,79.3449
PD,H1,B,2,2536,49.37,1.1013,0.0339,81.0268
USDRUBF,30m,B,4,5541,49.34,0.936,-0.0078,49.6771
Si,5m,B,3,32597,49.34,1.0784,0.0036,22.8661
Eu,15m,B,6,10363,49.32,0.9356,-0.0089,169.3588
KC,15m,B,2,1209,49.3,1.1652,0.027,19.8641
RI,5m,B,8,29873,49.3,1.0644,0.0072,71.7793
MN,15m,B,3,1043,49.28,1.0027,0.0004,21.3462
TT,5m,B,4,10558,49.27,2.0158,0.1059,20.0936
TN,5m,B,4,10558,49.27,2.0158,0.1059,20.0936
MG,5m,C,6,18629,49.27,0.8937,-0.0257,547.2587
Si,15m,B,3,10279,49.27,1.0059,0.0006,69.2526
BR,5m,B,3,30426,49.26,1.493,0.0417,29.5855
MY,15m,A,4,136,49.26,0.9755,-0.0088,15.089
EURRUBF,30m,B,3,5630,49.24,0.9133,-0.0099,76.6844
IB,30m,B,3,1664,49.22,1.2658,0.0824,31.5871
SV,15m,B,2,10564,49.2,1.1221,0.016,52.9703
RI,H1,B,2,2559,49.2,0.8702,-0.0294,86.2999
CR,H1,B,2,744,49.19,1.2632,0.032,8.4
CR,5m,B,8,5365,49.17,1.0154,0.0012,29.3211
Si,H1,B,4,2535,49.15,0.9901,-0.0019,45.5019
MG,5m,C,8,19725,49.15,0.872,-0.0339,740.8317
CH,30m,C,3,118,49.15,0.7578,-0.2328,30.5161
BR,15m,B,4,10362,49.13,1.0505,0.0094,67.3027
NA,H1,B,2,2571,49.12,0.9768,-0.0039,40.511
CR,15m,B,2,2309,49.11,1.0862,0.0061,13.8656
Si,5m,B,4,32596,49.11,1.0582,0.0031,38.3286
SV,15m,B,4,10562,49.11,1.067,0.012,103.2379
GD,H1,B,3,2737,49.1,0.8962,-0.0174,58.4973
CR,30m,B,4,1432,49.09,1.0687,0.0094,23.0369
HY,5m,C,3,9157,49.09,0.7716,-0.0567,541.3087
SV,30m,B,3,5202,49.08,1.0656,0.0154,39.9752
MC,H1,B,2,2582,49.07,0.8998,-0.0183,71.7282
TT,5m,B,3,10558,49.06,2.1139,0.1053,16.9316
