BR: 102870 M1 bars
CR: 101943 M1 bars
GD: 102880 M1 bars
RN: 66364 M1 bars
Si: 101950 M1 bars
MM: 89294 M1 bars
GZ: 101269 M1 bars
NG: 102970 M1 bars

=== BR 3мин ===
risk%  ret%     MDD    PF     WR    Trades
BR      5m   4%    +47.1%    7.3%  1.78  49.5%   503
BR      5m   5%    +47.1%    7.3%  1.78  49.5%   503
BR      5m   7%    +63.1%   12.5%  1.61  49.5%   503
BR     10m   1%    +35.2%    7.0%  1.81  51.6%   479
BR     10m   2%    +35.2%    7.0%  1.81  51.6%   479
BR     10m   3%    +35.2%    7.0%  1.81  51.6%   479
BR     10m   4%    +35.2%    7.0%  1.81  51.6%   479
BR     10m   5%    +35.2%    7.0%  1.81  51.6%   479
BR     10m   7%    +41.2%    7.0%  1.71  51.6%   479
BR     10m  10%    +87.6%   12.6%  1.74  51.6%   479
BR     15m   1%    +36.3%    3.9%  1.99  53.6%   420
BR     15m   2%    +36.3%    3.9%  1.99  53.6%   420
BR     15m   3%    +36.3%    3.9%  1.99  53.6%   420
BR     15m   4%    +36.3%    3.9%  1.99  53.6%   420
BR     15m   5%    +36.3%    3.9%  1.99  53.6%   420
BR     15m   7%    +42.2%    7.5%  1.90  53.6%   420
BR     15m  10%    +91.7%   10.4%  1.89  53.6%   420
BR     15m  15%   +189.2%   15.5%  1.91  53.6%   420
GD      3m   1%    +66.3%   17.6%  1.74  47.1%   119
GD      3m   2%    +66.3%   17.6%  1.74  47.1%   119
GD      3m   3%    +66.3%   17.6%  1.74  47.1%   119
GD      3m   4%    +66.3%   17.6%  1.74  47.1%   119
GD      3m   5%    +66.3%   17.6%  1.74  47.1%   119
GD      3m   7%    +66.3%   17.6%  1.74  47.1%   119
GD     10m   1%    +91.3%    5.6%  3.12  54.9%   144
GD     10m   2%    +91.3%    5.6%  3.12  54.9%   144
GD     10m   3%    +91.3%    5.6%  3.12  54.9%   144
GD     10m   4%    +91.3%    5.6%  3.12  54.9%   144
GD     10m   5%    +91.3%    5.6%  3.12  54.9%   144
GD     10m   7%    +91.3%    5.6%  3.12  54.9%   144
GD     10m  10%   +120.1%   10.0%  3.03  54.9%   144
GD     10m  15%   +308.1%   16.7%  2.98  54.9%   144
GD     15m   1%    +64.4%    8.9%  2.51  49.3%   152
GD     15m   2%    +64.4%    8.9%  2.51  49.3%   152
GD     15m   3%    +64.4%    8.9%  2.51  49.3%   152
GD     15m   4%    +64.4%    8.9%  2.51  49.3%   152
GD     15m   5%    +64.4%    8.9%  2.51  49.3%   152
GD     15m   7%    +64.4%    8.9%  2.51  49.3%   152
GD     15m  10%    +67.8%   12.7%  2.32  49.3%   152
RN      5m   1%    +22.1%    3.8%  1.70  51.4%   440
RN      5m   2%    +22.1%    3.8%  1.70  51.4%   440
RN      5m   3%    +22.1%    3.8%  1.70  51.4%   440
RN      5m   4%    +43.7%    6.8%  1.71  51.4%   440
RN      5m   5%    +54.6%    9.5%  1.66  51.4%   440
RN      5m   7%    +94.9%   13.3%  1.66  51.4%   440
RN      5m  10%   +171.0%   18.9%  1.63  51.4%   440
RN     15m   1%    +15.6%    2.2%  1.65  53.4%   350
RN     15m   2%    +15.6%    2.2%  1.65  53.4%   350
RN     15m   3%    +15.6%    2.2%  1.65  53.4%   350
RN     15m   4%    +30.5%    4.1%  1.64  53.4%   350
RN     15m   5%    +36.1%    4.1%  1.68  53.4%   350
RN     15m   7%    +60.7%    7.5%  1.66  53.4%   350
RN     15m  10%   +102.1%   10.4%  1.64  53.4%   350
RN     15m  15%   +190.3%   16.1%  1.62  53.4%   350
MM      3m   1%    +10.3%    1.9%  1.91  54.5%   154
MM      3m   2%    +27.8%    5.3%  1.91  54.5%   154
MM      3m   3%    +47.7%    8.0%  1.86  54.5%   154
MM      3m   4%    +69.6%   10.5%  1.85  54.5%   154
MM      3m   5%    +94.7%   13.1%  1.82  54.5%   154
MM      3m   7%   +158.7%   18.3%  1.79  54.5%   154
MM      5m   1%    +14.3%    2.4%  2.02  54.0%   211
MM      5m   2%    +39.1%    6.5%  1.99  54.0%   211
MM      5m   3%    +73.6%    9.8%  2.05  54.0%   211
MM      5m   4%   +109.6%   12.9%  2.05  54.0%   211
