entry_time,session,dow,hour,month,adx,atr_pct,atr_percentile,di_spread,close,divergence,dir,ret_pct,pnl_net,bars_held,reason,entry_px,exit_px
2026-04-24 20:45:00+08:00,close,4,20.75,4,35.91,0.2311,15.0,3.41,100.45,2.3448,SHORT,-1.5928322548531553,-990.1699365680481,10,time_stop,100.45,102.05
2026-04-27 09:50:00+08:00,open,0,9.83,4,50.02,0.2667,23.0,17.07,102.05,-3.6396,LONG,-1.0681038706516446,-659.3480662366319,10,time_stop,102.05,100.96
2026-04-27 10:40:00+08:00,open,0,10.67,4,38.72,0.1606,6.0,-45.34,100.96,-2.7216,LONG,-0.515055467511882,-317.2849456314907,10,time_stop,100.96,100.44
2026-04-27 13:00:00+08:00,mid,0,13.0,4,43.96,0.266,57.0,9.23,101.25,-2.747,LONG,0.41481481481481647,251.2657756987354,10,time_stop,101.25,101.67
2026-04-27 13:50:00+08:00,mid,0,13.83,4,33.23,0.2684,60.0,13.47,101.67,2.5823,SHORT,-0.08852168781351766,-56.15825486320146,10,time_stop,101.67,101.76
2026-04-27 14:40:00+08:00,mid,0,14.67,4,21.41,0.2997,83.0,-12.61,101.76,4.0497,SHORT,-0.6387578616352118,-392.61765404515734,10,time_stop,101.76,102.41
2026-04-27 15:40:00+08:00,mid,0,15.67,4,32.69,0.274,70.0,8.81,102.18,3.6994,SHORT,0.41103934233705386,248.55473342653102,10,time_stop,102.18,101.76
2026-04-27 16:55:00+08:00,mid,0,16.92,4,25.06,0.2071,13.0,10.03,102.07,-2.5305,LONG,0.2449299500342902,147.60484142268382,10,time_stop,102.07,102.32
2026-04-27 17:45:00+08:00,close,0,17.75,4,28.15,0.2953,85.0,5.69,102.32,-4.9341,LONG,-0.410476935105539,-253.02498213682964,10,time_stop,102.32,101.9
2026-04-27 18:35:00+08:00,close,0,18.58,4,18.56,0.314,92.0,-2.79,101.9,-4.5389,LONG,-0.15701668302258173,-97.82407000698787,10,time_stop,101.9,101.74
